#iteration sample
-1 0.197082
-1 0.15422
-1 0.266084
-1 0.127839
-1 0.593302
-1 0.226588
-1 0.998478
-1 0.351162
-1 0.0101061
-1 0.316549
0 0.502378
1 0.503035
2 0.502521
3 0.502533
4 0.502556
5 0.502585
6 0.502618
7 0.502643
8 0.502646
9 0.502673
10 0.502383
11 0.502262
12 0.502111
13 0.501921
14 0.501679
15 0.501383
16 0.501055
17 0.500751
18 0.500517
19 0.500358
20 0.500256
21 0.500189
22 0.500145
23 0.500114
24 0.500092
25 0.500075
26 0.500063
27 0.500054
28 0.500046
29 0.500039
30 0.500035
31 0.50003
32 0.500027
33 0.500024
34 0.500022
35 0.50002
36 0.500018
37 0.500016
38 0.500015
39 0.500014
